Date,Username,Text
"Feb 21, 2024 · 7:45 AM UTC",@denismalhotra,Luhut dan Prabowo:
"Feb 21, 2024 · 10:06 PM UTC",@HARIMAU_JAYA,"Video 1, okelah mungkin itu area “tidak steril”   Video 2, saat peresmian RS. TNI, jelas itu area “steril” apalagi Dr. yg KOLONEL itu sedang menjawab atau menerangkan pertanyaan dari Bpk. Presiden @jokowi   Bpk. @prabowo ….."
"Feb 22, 2024 · 3:38 AM UTC",@FauqiRamad10,"Akhirnya dapet jabatan juga ya pak, selamat pak AHY 👏👏  #Ahy #menteriatr #prabowo #jokowi #dilantik #demokratmoeldoko agus harimurti yudhoyono tornado hak angket pisang"
"Feb 22, 2024 · 3:37 AM UTC",@Papa_Brewook,"Kita tunggu, krn samapi saat ini yg aku tahu Prabowo itu selalu menepagi janji"
"Feb 22, 2024 · 3:37 AM UTC",@spd_gunadi,Semangat terus pak membangun negri ini
"Feb 22, 2024 · 3:37 AM UTC",@Budi_2232,"Untuk mendapat jaminan keselamatan hukum & bisnis keluarga pasca jabat presiden.. kenapa JOKOWI (kader PDIP 2004-2023= 19 tahun) pilih dukung PRABOWO NASDEM, bukan dukung GANJAR PDIP?"
"Feb 22, 2024 · 3:37 AM UTC",@Toleee19,Akwokwokwok 🤣 kocak
"Feb 22, 2024 · 3:37 AM UTC",@AgusLeonel96,"Mau sampai kapan tinggal ucapkan selamat ke pak prabowo aja kok susah wkwkwkw @angger_sy @angger_sy ngebet bngt sih di kasih nilai sama rakyat gak terima haduhh , hahahahah"
"Feb 21, 2024 · 1:03 PM UTC",@republikaonline,Saksi Prabowo-Gibran diduga dipukuli pendukung Anies-Muhaimin di Tapanuli Tengah.  https://pemilukita.republika.co.id/berita/s97i91484/tkn-saksi-prabowo-gibran-dipukuli-kubu-lawan-saat-penghitungan-suara-di-sumut
"Feb 21, 2024 · 5:30 PM UTC",@mkusumawijaya,Pemilu 2024 adalah momen tergelap pasca 1998 dalam sejarah Indonesia. Saya pribadi mencatat @jokowi  dan keluarga beserta  @prabowo  dan elit pemdukung sebagai pengkhianat bangsa.
"Feb 22, 2024 · 3:37 AM UTC",@RicoStickman,I know. Just saying that we all should be cautious of our own actions.
"Feb 22, 2024 · 12:52 AM UTC",@ardi_tama1,"Gambaran betapa masifnya DPT Kita, sangat sulit untuk membuktikan kecurangan di level TSM, pak prabowo dan tim mungkin sudah paham karena 2 periode menggugat hahaha"
"Feb 22, 2024 · 3:37 AM UTC",@Yadiesupri1,"PKS ngak ya..?? Coba perhatikan ya,tiap capres yg di dukung PKS gimana..??kita bicara jujur ya,tanya hati nurani dan lihat faktanya..2014 gimana,2019 gimana Untung prabowo sadar di 2014,berpisah sama PKS,akhirnya menang kan🤣🤣🤣 Politik identitas itu nyata ga laku boss🤣🤣🤣"
"Feb 22, 2024 · 3:37 AM UTC",@beniyanto1102,"Prabowo merayakan kebohongannya.... Allah menunjukkan kekuasaanNYA, bahwa prabowo adalah PEMBOHONG https://www.facebook.com/share/r/Bs62UHYsosd9cBVm/?mibextid=0VwfS7"
"Feb 22, 2024 · 3:14 AM UTC",@TheDanz94,Kedekatan Pak @prabowo dengan Pimpinan Uni Emirat Arab Mohamed Bin Zayed atau MBZ.  #DiTpsKalahKokMarah FaktaDITPS HasilNyataKPU     #UdahNyataHasilTPSnya MasihAJA GakMAUTERIMA
"Feb 22, 2024 · 3:37 AM UTC",@SeriDianawati,"Bli hak angket atw interpelasi ga membuat takut Jokowi maupun Prabowo,sy rasa sampai detik ini Jokowi msh tenang Krn dia sdh mengkondisikan semua ini agar tetap TDK berubah Prabowo dan anaknya sbgai pemenang"
"Feb 22, 2024 · 3:37 AM UTC",@barrstwn,ditambah lagi dgn murid-muridnya pasukan panitia surga
"Feb 22, 2024 · 3:36 AM UTC",@Kh74787180Abdul,"Betul kata Miftah, tetapi Prabowo dan Gibran yang lain."
"Feb 20, 2024 · 7:19 AM UTC",@bengkeldodo,"Jusuf Hamka: Cinta Prabowo Pada NKRI, Jangan Diragukan Lagi  https://papabowo.com/jusuf-hamka-cinta-prabowo-pada-nkri-jangan-diragukan-lagi/"
"Feb 22, 2024 · 3:36 AM UTC",@evieafriyanti,"Huhuhu....sedih kak. Anak q aja kelas 5 dah terkontaminasi banget. Dia bilang pak anis pendeta, mao ngejelasin susah juga. Kata dia prabowo udh ngebela bangsa indonesia krn tentara.... ampun dah"
"Feb 22, 2024 · 3:36 AM UTC",@OHarimawan,Pendukung Prabowo Gibran penuh drama pelaporan
"Feb 22, 2024 · 3:36 AM UTC",@rizaldyal26,Abis ini ikutin jg pak jejak politiknya bong bong marcos 👍
"Feb 20, 2024 · 2:28 AM UTC",@Srik4ndiMuslim2,"Sumatera Selatan, Kota Palembang, Kecamatan Sematang Borang, Desa Karyamulya, TPS 013:  C1: Anies: 126. Prabowo: 100. Ganjar : 16.  Sirekap: Anies: 0. Prabowo: 400. Ganjar: 0.  Gantung mati ketua KPU curang!  #GantungMatiKetuaKPU #GantungMatiKetuaKPU"
"Feb 22, 2024 · 3:36 AM UTC",@Petruk_Penipu,Yg nyerang siapa tong
"Feb 22, 2024 · 3:36 AM UTC",@widodo_oi,"Yo kari nunggu ae.ilmu iku tinemu kanti laku,laku kelawan kas,kas teges nyantosani🙏rukun agawe santoso,sakdremo,sakmadyo,madyopodo,owah gingsir,nyokro manggilingan.#elingwaspodo"
"Feb 22, 2024 · 3:36 AM UTC",@DonTimoteo1902,3 presiden bersatu  SBY Jokowi Prabowo
"Feb 22, 2024 · 3:36 AM UTC",@kelingwardoyo,"Jangan karena beda pilihan, trus primitif primitif orang mbak, korup? Yang pernah di panggil kpk tuh anies bukan prabowo. Ilegal? Kalo ilegal mereka ga akan lolos dari proses kpu,  Sudahlah ini udah selesai, balik ke dunia nyata, jangan ngerasa paling tinggi derajat trus"
"Feb 22, 2024 · 12:34 AM UTC",@Dyananjani89,Mau Pemilu diulang sampe rambut Ganjar Pranowo menghitam dan ring Jantung Denny Siregar karatan.  Gua akan tetap Dukung Pak Jokowi yg mementori Pak Prabowo-Gibran   Hidup ini simple kok  Yg sulit itu hidup org2 yg  keok Pemilu tp ngerasa menang 🥰
"Feb 22, 2024 · 3:36 AM UTC",@Noura32638552,Muka badak semua
"Feb 22, 2024 · 3:36 AM UTC",@AwingDamin34525,Mereka benar2 tidak kehabisan akal setelah film dirty vote skrng ingin lanjut hak angket masyarakat semakin merapat ke Prabowo Gibran
"Feb 22, 2024 · 3:36 AM UTC",@DemokratSergai,"Junjung tinggi etika politik, AHY sowan ke Prabowo dan Hadi Tjahjanto pasca diminta Presiden Jokowi jadi Menteri ATR/BPN.  #PartaiDemokrat #pdemokrat #Demokrat #AHY"
"Feb 22, 2024 · 3:36 AM UTC",@pisangeprek,prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo
"Feb 22, 2024 · 3:36 AM UTC",@demenngocehh,Udah jatoh harga diri si memed semenjak pilih prabowo wkkw
"Feb 22, 2024 · 3:36 AM UTC",@muliiy_,Lah memang bener rip demokrasi masa udah kalah di salah satu tps terus saksi² dari prabowo gibran di keroyok sama pendukungnya 01. Trus juga ada yg rumahnya kpps di bom Karena di tps 02 unggul. Pendukungnya abah pada fanatik semua
"Feb 21, 2024 · 2:07 PM UTC",@muchlis_ar,"Masuk Kabinet di injury time, Demokrat dg gagah langsung nyindir anggota kabinet lain non Prabowo: anggota kabinet rasa oposisi..  Padahal itu PDIP dkk yg jadiin Jokowi Presiden di 2019..  Nglawan Demokrat dkk.  Gagah. 😜"
"Feb 16, 2024 · 12:45 PM UTC",@OmJ_JeNggot,Hasil Perolehan suara sementara d Kelurahan Manggarai Selatan Kec Tebet Jakarta Selatan   Anies Muhaimin : 4898 suara  Prabowo Gibran : 3486 suara Ganjar Mahfud : 1384 suara   Ket: 6 TPS tanpa C1 & beberapa TPS blm ada Masuk data sm sekali   👇seharusnya semua data sudah ada
"Feb 22, 2024 · 3:35 AM UTC",@ganas_rambo,"Klo masih berkurang di 24% doanya SDH terjawab bahwa memang blm waktunya untuk menjadi presiden,ikhlas saja pak memang sulit tp itu adalah hal yg SDH dirasakan pak Prabowo selama 15 tahun,BPK perlu bljr ikhlas,jgn terima saran dr pak ijin klo dia memang gak punya malu"
"Feb 22, 2024 · 3:35 AM UTC",@bangonae,Padahal sblmnya rakyat udah tau ada video prabowo udah janjiin jatah mentri buat AHY 😂
"Feb 22, 2024 · 3:35 AM UTC",@danjarbe,"Prabowo Keturunan china, bukan imigran asing?"
"Feb 22, 2024 · 3:35 AM UTC",@TIO70778960,ini bener kader PD Mas Ketum?
"Feb 20, 2024 · 12:26 PM UTC",@BonekaSengkuni,Otak dungu di ajak perubahan gak mau  Mampus rasain lu...otak kerdil Bukan begitu bang @LexWu_13
"Feb 20, 2024 · 9:43 AM UTC",@STresnowati1,"Setelah penggelembungan suara terungkap . Dan PS terancam di diskualifikasi. Prabowo pusing , geleng geleng kepala terus . Samsul tercengang bingung , bukankah kemarin sudah deklarasi menang. Jokowi pucat, panik.  Bertindak nekad menghubungi sana sini agar mau masuk dlm kualifikasi anaknya . Yang di bujuk pertama adalah Surya Paloh.  Sayang Jokowi salah pilih lawan.  SP ga bergeming dia ingin meneruskan proses pilpres sampai tuntas bersama AMIN. Alhamdulillah.🙏😂"
"Feb 22, 2024 · 3:35 AM UTC",@LaskarDhipayuda,kalo ini Gwe Setuju Lek.. Kuncinya Liat Nanti Setelah Pak Prabowo Resmi Dilantik.. Kalo Mas @AgusYudhoyono Seperti apa yg tlh Di ucapkan Pak Prabowo pas Kampanye Di malang dan di tempatkan di antara 2 posisi ini.. MENHAN / MENKOPOLHUKAM..Ada indikasi Mas AHY emang udah disiapkan
"Feb 22, 2024 · 3:35 AM UTC",@chai81chai,"Dulu prabowo kalah di bully,sekarang prabowo menang masih di bully jg,cuma boleh menang sendiri,susah mengakui strategi keberhasilan pihak lain 😁😁"
